player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Malcolm Delaney,ATL,29.0,190.5,86.18248,107,0,0,8,0,54,6.3,1.9,3.0,-4.5,0.009,0.09,0.166,0.519,0.244,2017
Troy Williams,NYK,23.0,200.66,98.883056,95,0,0,8,0,21,6.3,3.0,0.8,-3.9,0.071,0.1369999999999999,0.192,0.544,0.071,2017
Goran Dragic,MIL,37.0,193.04,86.18248,0,24,2008,2,45,58,6.3,1.4,2.6,-0.6,0.018,0.075,0.198,0.514,0.237,2022
Tyus Jones,MEM,25.0,182.88,88.904032,32,0,2015,1,24,70,6.3,2.0,3.7,-2.8,0.016,0.093,0.165,0.511,0.305,2020
Roger Mason Jr.,SAS,29.0,195.58,96.161504,22,0,2002,2,30,79,6.3,2.1,1.7,1.6,0.008,0.115,0.171,0.49,0.14,2009
Antoine Wright,DAL,24.0,200.66,97.52228,200,0,2005,1,15,56,6.3,2.6,1.4,-6.3,0.038,0.099,0.155,0.488,0.113,2007
Steven Smith,MIA,36.0,203.2,100.243832,11,0,1991,1,5,50,6.3,1.3,1.4,-6.0,0.022,0.087,0.185,0.5539999999999999,0.161,2004
Jerami Grant,PHI,21.0,203.2,95.25432,8,0,2014,2,39,65,6.3,3.0,1.2,-6.0,0.037,0.12,0.1639999999999999,0.47,0.095,2014
Jodie Meeks,WAS,30.0,193.04,95.25432,43,0,2009,2,41,77,6.3,1.6,0.9,-6.8,0.013,0.102,0.179,0.5479999999999999,0.1,2017
Frank Mason,ORL,27.0,180.34,86.18248,35,0,2017,2,34,4,6.3,3.0,3.0,-11.1,0.033,0.103,0.17,0.462,0.218,2020
Lou Williams,ATL,35.0,187.96,79.3786,0,0,2005,2,45,56,6.3,1.6,1.9,0.8,0.02,0.084,0.215,0.5,0.196,2021
Hassani Gravett,ORL,25.0,187.96,84.821704,206,0,2019,8,0,8,6.3,2.6,2.5,-1.8,0.006,0.114,0.13,0.629,0.177,2021
Ish Smith,WAS,33.0,182.88,79.3786,62,0,0,8,0,65,6.3,2.2,3.8,-6.7,0.021,0.1,0.195,0.465,0.318,2021
Mindaugas Kuzminskas,NYK,27.0,205.74,97.52228,0,12,0,8,0,68,6.3,1.9,1.0,-1.2,0.05,0.084,0.188,0.5329999999999999,0.102,2016
E'Twaun Moore,ORL,25.0,193.04,86.636072,33,0,2011,2,55,79,6.3,1.7,1.4,-3.5,0.022,0.08,0.1639999999999999,0.513,0.122,2013
Sean Kilpatrick,CHI,28.0,193.04,96.161504,60,0,0,8,0,52,6.3,1.7,0.9,-8.6,0.0069999999999999,0.131,0.242,0.507,0.121,2017
Simone Fontecchio,UTA,27.0,200.66,94.800728,0,50,0,8,0,52,6.3,1.7,0.8,-13.1,0.036,0.07,0.192,0.495,0.079,2022
Timofey Mozgov,CLE,29.0,215.9,124.7378,0,34,0,8,0,76,6.3,4.4,0.4,0.8,0.0969999999999999,0.187,0.165,0.593,0.039,2015
