Team,win_percentage,season,Player 1 age,Player 1 player_height,Player 1 player_weight,Player 1 college,Player 1 country,Player 1 draft_year,Player 1 draft_round,Player 1 draft_number,Player 1 gp,Player 1 pts,Player 1 reb,Player 1 ast,Player 1 net_rating,Player 1 oreb_pct,Player 1 dreb_pct,Player 1 usg_pct,Player 1 ts_pct,Player 1 ast_pct,Player 2 age,Player 2 player_height,Player 2 player_weight,Player 2 college,Player 2 country,Player 2 draft_year,Player 2 draft_round,Player 2 draft_number,Player 2 gp,Player 2 pts,Player 2 reb,Player 2 ast,Player 2 net_rating,Player 2 oreb_pct,Player 2 dreb_pct,Player 2 usg_pct,Player 2 ts_pct,Player 2 ast_pct,Player 3 age,Player 3 player_height,Player 3 player_weight,Player 3 college,Player 3 country,Player 3 draft_year,Player 3 draft_round,Player 3 draft_number,Player 3 gp,Player 3 pts,Player 3 reb,Player 3 ast,Player 3 net_rating,Player 3 oreb_pct,Player 3 dreb_pct,Player 3 usg_pct,Player 3 ts_pct,Player 3 ast_pct,Player 4 age,Player 4 player_height,Player 4 player_weight,Player 4 college,Player 4 country,Player 4 draft_year,Player 4 draft_round,Player 4 draft_number,Player 4 gp,Player 4 pts,Player 4 reb,Player 4 ast,Player 4 net_rating,Player 4 oreb_pct,Player 4 dreb_pct,Player 4 usg_pct,Player 4 ts_pct,Player 4 ast_pct,Player 5 age,Player 5 player_height,Player 5 player_weight,Player 5 college,Player 5 country,Player 5 draft_year,Player 5 draft_round,Player 5 draft_number,Player 5 gp,Player 5 pts,Player 5 reb,Player 5 ast,Player 5 net_rating,Player 5 oreb_pct,Player 5 dreb_pct,Player 5 usg_pct,Player 5 ts_pct,Player 5 ast_pct
DAL,0.463,2022,24.0,200.66,104.32616,0,24,2018,1,3,66,32.4,8.6,8.0,2.1,0.024,0.2239999999999999,0.368,0.609,0.408,31.0,187.96,88.45044,32,47,2011,1,1,60,27.1,5.1,5.5,4.7,0.0289999999999999,0.107,0.286,0.613,0.233,27.0,205.74,97.068688,252,0,0,8,0,67,16.6,7.3,1.8,-1.3,0.053,0.238,0.259,0.624,0.119,31.0,195.58,92.98636,18,0,2013,1,24,71,14.4,3.5,1.8,3.4,0.01,0.108,0.201,0.5539999999999999,0.088,22.0,200.66,90.7184,13,47,2020,1,18,60,9.1,3.0,1.7,2.5,0.037,0.087,0.14,0.645,0.096
UTA,0.451,2022,26.0,213.36,108.86208,13,7,2017,1,7,66,25.6,8.6,1.9,3.8,0.055,0.183,0.259,0.6409999999999999,0.086,31.0,195.58,87.996848,76,0,2014,2,46,61,20.8,4.0,4.4,0.8,0.036,0.083,0.273,0.5579999999999999,0.209,24.0,187.96,86.18248,10,0,2018,1,8,48,14.3,2.2,2.9,0.1,0.032,0.0559999999999999,0.23,0.616,0.178,29.0,190.5,92.98636,17,0,2016,1,5,22,13.2,4.5,5.6,-4.3,0.015,0.148,0.195,0.606,0.315,32.0,210.82,108.86208,14,5,2013,1,13,68,12.5,6.2,3.7,0.4,0.042,0.1639999999999999,0.176,0.643,0.173
IND,0.427,2022,23.0,195.58,83.91452,40,0,2020,1,12,56,20.7,3.7,10.4,-1.0,0.018,0.092,0.238,0.624,0.457,27.0,210.82,113.398,97,0,2015,1,11,62,18.0,7.5,1.4,-1.2,0.049,0.205,0.225,0.6509999999999999,0.074,30.0,193.04,99.79024,69,66,2016,1,6,80,16.8,5.0,2.8,-1.9,0.027,0.132,0.205,0.614,0.131,21.0,195.58,95.25432,13,5,2022,1,6,78,16.7,4.1,1.5,-4.3,0.037,0.103,0.235,0.5660000000000001,0.078,23.0,195.58,97.52228,123,0,2020,1,14,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073
WAS,0.427,2022,30.0,193.04,93.893544,2,0,2012,1,3,50,23.2,3.9,5.4,0.7,0.026,0.091,0.288,0.593,0.26,27.0,220.98,108.86208,0,44,2015,1,4,65,23.2,8.4,2.7,1.4,0.057,0.1939999999999999,0.272,0.627,0.125,27.0,205.74,100.243832,42,0,2017,1,27,64,21.2,7.2,3.7,0.3,0.025,0.172,0.273,0.544,0.1639999999999999,24.0,198.12,101.604608,14,0,2021,1,15,74,11.1,2.8,1.2,-3.2,0.016,0.0819999999999999,0.139,0.657,0.0559999999999999,28.0,187.96,83.007336,40,0,2017,2,51,62,10.3,3.4,5.3,0.1,0.016,0.106,0.155,0.579,0.249
ORL,0.415,2022,20.0,208.28,113.398,32,0,2022,1,1,72,20.0,6.9,3.7,-4.2,0.035,0.174,0.272,0.529,0.171,21.0,208.28,99.79024,18,13,2021,1,8,80,18.6,4.1,3.5,1.2,0.027,0.098,0.23,0.589,0.1669999999999999,24.0,208.28,122.46984,32,0,2018,1,7,57,15.2,8.7,2.3,-0.8,0.074,0.221,0.204,0.621,0.119,25.0,193.04,94.800728,117,0,2017,1,1,60,14.0,3.9,5.7,-3.7,0.038,0.095,0.208,0.564,0.29,23.0,190.5,83.91452,4,0,2020,1,15,60,13.0,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228
POR,0.402,2022,32.0,187.96,88.45044,118,0,2012,1,6,58,32.2,4.8,7.3,2.1,0.022,0.1119999999999999,0.331,0.645,0.3379999999999999,24.0,190.5,82.10015200000001,0,0,2018,1,24,62,21.1,2.6,4.1,-1.6,0.008,0.067,0.247,0.581,0.186,29.0,203.2,95.25432,8,0,2014,2,39,63,20.5,4.5,2.4,-1.2,0.025,0.104,0.2269999999999999,0.606,0.103,25.0,193.04,92.98636,46,0,2020,2,50,6,15.3,3.2,8.3,-16.3,0.01,0.0969999999999999,0.182,0.624,0.368,28.0,213.36,131.54168,0,69,2014,1,16,52,13.3,9.1,2.9,0.3,0.084,0.258,0.218,0.589,0.16
CHA,0.329,2022,21.0,200.66,81.64656,0,0,2020,1,3,36,23.3,6.4,8.4,-4.7,0.031,0.147,0.289,0.541,0.352,29.0,185.42,86.18248,41,0,2015,1,16,63,21.1,4.1,5.1,-6.2,0.021,0.095,0.262,0.517,0.22,27.0,198.12,92.079176,35,0,2015,1,15,48,20.3,5.2,1.1,-7.7,0.038,0.121,0.257,0.534,0.057,24.0,200.66,104.32616,43,0,2019,1,12,73,15.7,4.9,2.4,-7.2,0.0279999999999999,0.118,0.2,0.542,0.107,33.0,200.66,102.0582,225,0,2010,1,9,50,14.7,4.3,4.1,-3.3,0.02,0.1119999999999999,0.196,0.563,0.187
HOU,0.268,2022,21.0,193.04,84.368112,0,0,2021,1,2,76,22.1,3.7,3.7,-8.7,0.016,0.093,0.2739999999999999,0.5379999999999999,0.1689999999999999,23.0,193.04,92.079176,146,0,2019,1,30,59,19.2,5.3,5.7,-8.3,0.036,0.1169999999999999,0.239,0.565,0.26,20.0,210.82,110.222856,0,4,2021,1,16,75,14.8,9.0,3.9,-7.8,0.107,0.204,0.211,0.599,0.1989999999999999,20.0,210.82,99.79024,81,0,2022,1,3,79,12.8,7.2,1.3,-11.3,0.047,0.18,0.183,0.514,0.059,22.0,200.66,97.52228,0,0,2020,2,52,82,12.7,5.5,1.5,-8.0,0.052,0.143,0.16,0.635,0.079
SAS,0.268,2022,23.0,195.58,99.79024,43,0,2019,1,29,63,22.0,5.0,2.9,-11.3,0.025,0.133,0.273,0.551,0.1369999999999999,22.0,195.58,90.7184,36,0,2020,1,11,38,18.5,3.9,3.6,-11.7,0.006,0.125,0.24,0.55,0.173,23.0,185.42,83.91452,32,0,2020,2,41,68,12.9,3.6,6.6,-7.8,0.026,0.099,0.1889999999999999,0.534,0.306,25.0,210.82,113.398,14,0,2017,1,10,63,11.6,6.4,2.9,-7.5,0.076,0.19,0.209,0.599,0.18,20.0,203.2,104.32616,91,38,2022,1,9,56,11.0,5.3,2.5,-7.0,0.06,0.14,0.195,0.509,0.132
DET,0.207,2022,34.0,200.66,102.511792,0,10,2011,2,31,59,21.6,3.8,2.6,-8.2,0.018,0.099,0.251,0.627,0.133,21.0,200.66,99.79024,21,0,2021,1,1,12,19.9,6.2,6.0,-6.1,0.027,0.148,0.287,0.492,0.306,21.0,193.04,88.45044,33,0,2022,1,5,74,16.3,3.9,5.2,-13.0,0.03,0.094,0.251,0.528,0.2689999999999999,31.0,198.12,97.068688,101,0,2011,1,12,51,12.8,3.1,2.2,-1.0,0.017,0.124,0.218,0.602,0.15,24.0,208.28,106.59412,32,0,2018,1,2,42,12.0,6.4,0.9,-10.6,0.091,0.179,0.2019999999999999,0.5870000000000001,0.0579999999999999
